title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Complex Network : Theory and Application,,Prof. Animesh Mukherjee,,,,,,,nptel
Sales and Distribution Management,,Prof. Sangeeta Sahney,,,,,,,nptel
Advanced Thermodynamics and Molecular Simulations,,Prof. Prateek Kumar Jha,,,,,,,nptel
Principle of Hydraulic Machines and System Design,,Pranab K. Mondal,,,,,,,nptel
Introduction to Algebraic Topology (Part-II),,Prof. Anant R. Shastri,,,,,,,nptel
Technologies for clean and renewable energy production,,Prof.P. Mondal,,,,,,,nptel
Mathematical Methods and Techniques in Signal Processing,,Prof Shayan Srinivasa Garani,,,,,,,nptel
Modern Application Development,,Unknown,,,,,,,nptel
"Power System Dynamics, Control and Monitoring",,Prof.Debapriya Das,,,,,,,nptel
Practical Machine Learning with Tensorflow,,Prof. Balaraman. Ravindran,,,,,,,nptel
Introductory Organic Chemistry I,,Prof.Harinath Chakrapani,,,,,,,nptel
Pericyclic Reactions and Organic Photochemistry,,Prof. Sankararaman,,,,,,,nptel
Optimization in Chemical Engineering,,Prof. Debasis Sarkar,,,,,,,nptel
Introduction to Modern Application Development,,Prof. Gaurav raina,,,,,,,nptel
Patent Law for Engineers and Scientists,,Prof. Feroz Ali,,,,,,,nptel
Understanding Design,,Prof. Nina Sabnani,,,,,,,nptel
Understanding Design Thinking & People Centred Design,,Prof. Jhumkee Iyengar,,,,,,,nptel
Electrical Equipment and Machines: Finite Element Analysis,,Prof. Shrikrishna V. Kulkarni,,,,,,,nptel
Experimental Methods in Fluid Mechanics,,Prof. Pranab K. Mondal,,,,,,,nptel
Millimeter Wave Technology,,Prof. Mrinal Kanti Mandal,,,,,,,nptel
Modern Indian Art From the Colonial Period to the Present,,Prof. Soumik Nandy Majumdar,,,,,,,nptel
Business English Communication,,Prof. Aysha Iqbal,,,,,,,nptel
Engineering Mechanics - Statics and Dynamics,,Prof. Mahesh Panchagnula,,,,,,,nptel
Thermodynamics for Biological Systems: Classical and Statistical Aspect,,Prof. G. K. Suraishkumar,,,,,,,nptel
Structural System in Architecture,,Prof. Shankha Pratim Bhattacharya,,,,,,,nptel
Principles of Management,,Prof. Usha Lenka,,,,,,,nptel
Measure Theoretic Probability 1,,Prof. Suprio Bhar,,,,,,,nptel
Basic Electrical Circuits,,Prof. Nagendra Krishnapura,,,,,,,nptel
Great Experiments in Psychology,,Prof. Rajlakshmi Guha,,,,,,,nptel
Biology for engineers and other non-biologists,,Prof. Madhulika Dixit,,,,,,,nptel
Design Thinking - A Primer,,Prof. Ashwin Mahalingam,,,,,,,nptel
Non-parametric Statistical Inference,,Prof.Niladri Chatterjee,,,,,,,nptel
Traditional And Non-Traditional Optimization Tools,,Prof. Dilip Kumar Pratihar,,,,,,,nptel
Spray Theory,,Prof. Mahesh Panchagnula,,,,,,,nptel
Entrepreneurship,,Prof. C Bhaktavatsala Rao,,,,,,,nptel
Engineering Econometrics,,Prof. Rudra P Pradhan,,,,,,,nptel
Analog IC Design,,Prof. Aniruddhan.S,,,,,,,nptel
Thermodynamics of Fluid Phase Equilibria,,Prof. Jayant K Singh,,,,,,,nptel
Aircraft Stability and Control,,Prof. A.K. Ghosh,,,,,,,nptel
Automation in Manufacturing,,Prof. Shrikrishna N. Joshi,,,,,,,nptel
Constitutional Studies,,Prof. Sudhir Krishnaswamy,,,,,,,nptel
Introduction to History of Architecture in India,,Prof. Pushkar Sohoni,,,,,,,nptel
A short lecture series on contour integration in the complex plane,,Prof. Venkata Sonti,,,,,,,nptel
Digital Electronic Circuits,,Prof. Goutam Saha,,,,,,,nptel
Econometric Modelling,,Prof. Sujata Kar,,,,,,,nptel
Global Marketing Management,,Prof. Z. Rahman,,,,,,,nptel
Technical english for engineers,,Prof. Aysha Iqbal,,,,,,,nptel
Fabrication Techniques for MEMs-based sensors:  Clinical perspective,,Hardik Jeetendra Pandya,,,,,,,nptel
Stochastic Processes,,Prof. Dharmaraja,,,,,,,nptel
Adiabatic Two Phase Flow and Flow Boiling in Microchannel,,Prof. Gargi Das,,,,,,,nptel
Operations Research,,Prof.KUSUM DEEP,,,,,,,nptel
The Renaissance and Shakespeare,,Unknown,,,,,,,nptel
Computational Fluid Dynamics using Finite Volume Method,,Prof. Kameswararao Anupindi,,,,,,,nptel
Integrated Marketing Management,,Prof. R. Srinivasan,,,,,,,nptel
Systems Engineering: Theory & Practice,,Dr. Deepu Philip,,,,,,,nptel
Experimental Biotechnology,,Prof Vishal Trivedi,,,,,,,nptel
Digital VLSI Testing,,Prof. Santanu Chattopadhyay,,,,,,,nptel
Mechanical Unit Operations,,Prof. Nanda Kishore,,,,,,,nptel
Cloud computing,,Prof. Soumya Kanti Ghosh,,,,,,,nptel
Health Research Fundamentals,,Dr. Sanjay Mehendale,,,,,,,nptel
Big Data Computing,,Prof. Rajiv Misra,,,,,,,nptel
Landscape Architecture and Site Planning - Basic Fundamentals,,Prof. Uttam Kumar Bannerjee,,,,,,,nptel
Design of Masonry Structures,,Prof.Arun Menon,,,,,,,nptel
Geographic Information System,,Prof. Bharath H Aithal,,,,,,,nptel
"Literature, Culture and Media",,Prof. Rashmi Gaur,,,,,,,nptel
Introduction to Quantum Computing: Quantum Algorithms and Qiskit,,Prof. Prabha Mandayam,,,,,,,nptel
Marketing Management-I,,Prof. Jayanta Chatterjee,,,,,,,nptel
Waves and Oscillations,,Prof.M. S. Santhanam,,,,,,,nptel
Psychiatry - An overview,,Dr.Alok Bajpai,,,,,,,nptel
Gear and Gear Unit Design : Theory and Practice,,Prof. Rathindranath Maiti,,,,,,,nptel
Welding of Advanced High Strength Steels for Automotive Applications.,,Prof. Murugaiyan Amirthalingam,,,,,,,nptel
Automation in Production Systems and Management,,Prof. Pradip Kumar Ray,,,,,,,nptel
Fiber-Optic Communication Systems and Techniques,,Prof. Pradeep Kumar K,,,,,,,nptel
Plant Cell Bioprocessing,,Prof. Smita Srivastava,,,,,,,nptel
Modern Indian Writing in Translation,,Prof. A. Divya,,,,,,,nptel
Introduction to Wireless and Cellular Communications,,Prof. David Koilpillai,,,,,,,nptel
Textured Yarn Technology,,Prof. Kushal Sen,,,,,,,nptel
Design of fixed wing Unmanned Aerial Vehicles,,Dr. Subrahmanyam Saderla,,,,,,,nptel
Fundamentals of Acoustics,,Prof. Nachiketa Tiwari,,,,,,,nptel
Introduction to Western Political Thought,,Prof. Mithilesh Kumar Jha,,,,,,,nptel
Programming in C++,,Prof. Partha Pratim Das,,,,,,,nptel
Linear System Theory,,Prof.Ramkrishna Pasumarthy,,,,,,,nptel
Regression Analysis,,Prof. Soumen Maity,,,,,,,nptel
Introduction to probability and Statistics,,G Srinivasan,,,,,,,nptel
"Energy Resources, Economics and Environment",,Prof. Rangan Banerjee,,,,,,,nptel
Sales and Distribution Management,,Prof. Sangeeta Sahney,,,,,,,nptel
Physics of Biological Systems,,Prof. Mithun Mitra,,,,,,,nptel
Neuroscience of Human Movements,,Prof. Varadhan,,,,,,,nptel
Offshore Structures Under Special Environmental Loads Including Fire Resistance,,Prof. Srinivas Chandarsekaran,,,,,,,nptel
Architectural Design of Digital Integrated Circuits,,Indranil Hatai,,,,,,,nptel
Principles of Mechanical Measurement,,Prof.  Dipankar N Basu,,,,,,,nptel
Fundamentals of Convective Heat Transfer,,Prof. Amaresh Dalal,,,,,,,nptel
Electrical Machines - I,,Prof. Tapas Kumar Bhattacharya,,,,,,,nptel
Language and Mind,,Prof. Dr. Rajesh Kumar,,,,,,,nptel
Marketing Research and Analysis - II,,Prof. J. K. Nayak,,,,,,,nptel
Environmental Engineering- Chemical Processes,,Dr. Bhanu Prakash Vellanki,,,,,,,nptel
Environmental Remediation of Contaminated Sites,,Prof. Bhanu Prakash Vellanki,,,,,,,nptel
Introduction to Multimodal Urban Transportation Systems (MUTS),,Prof. Arkopal Kishore Goswami,,,,,,,nptel
Data Science for Engineers,,"Prof. Ragunathan Rengasamy_x000D_
Prof. Shankar Narasimhan",,,,,,,nptel
Power System Protection and Switchgear,,Prof. Bhaveshkumar R. Bhalja,,,,,,,nptel
Group Theory Methods in Physics,,Prof. P. Ramadevi,,,,,,,nptel
Introduction to Western Political Thought,,Prof. Mithilesh Kumar Jha,,,,,,,nptel
Principles of Signals and Systems,,Prof. Aditya K. Jagannatham,,,,,,,nptel
Introduction to R Software,,Prof. Shalabh,,,,,,,nptel
Soft skills,,Prof. Binod Mishra,,,,,,,nptel
Indian Philosophy,,Prof. Dr. Satya Sundar Sethy,,,,,,,nptel
Advanced Soil Mechanics,,Prof. Sreedeep S,,,,,,,nptel
Introduction to Cultural Studies,,Dr Avishek Parui,,,,,,,nptel
Business Analytics for Management Decision,,Prof. Rudra P Pradhan,,,,,,,nptel
Co-ordination chemistry (Chemistry of transition elements),,Prof. Debashis Ray,,,,,,,nptel
Geosynthetics And Reinforced Soil Structures,,Prof. K.Rajagopal,,,,,,,nptel
Vibrations of structures,,Prof. Anirvan DasGupta,,,,,,,nptel
Project management for managers,,Prof. Mukesh Kumar Barua,,,,,,,nptel
Digital Switching - I,,Prof. Y.N.Singh,,,,,,,nptel
Digital Switching - I,,Prof. Y.N.Singh,,,,,,,nptel
Introduction to Materials Science and Engineering,,Prof. Rajesh Prasad,,,,,,,nptel
Outcome Based Pedagogic Principles for Effective Teaching,,Prof. Shyamal Kumar Das Mandal,,,,,,,nptel
Nuclear Astrophysics,,Prof. Anil Kumar Gourishetty,,,,,,,nptel
Probability and Stochastics for Finance,,Prof. Joydeep Dutta,,,,,,,nptel
Business Analytics & Text Mining Modeling Using Python,,Prof. Gaurav Dixit,,,,,,,nptel
Polymer Assisted Abrasive Finishing Processes,,Prof.  M. Ravi Sankar,,,,,,,nptel
Principles and Applications of NMR Spectroscopy,,Prof. Hanudatta S. Atreya,,,,,,,nptel
Evolutionary Computation for Single and Multi-Objective Optimization,,Prof. Deepak Sharma,,,,,,,nptel
Engineering Mechanics - Statics and Dynamics,,Prof. Mahesh Panchagnula,,,,,,,nptel
Microprocessors and Microcontrollers,,Prof.Santanu Chattopadhyay,,,,,,,nptel
Contemporary Architecture and Design,,Prof. Saptarshi Kolay,,,,,,,nptel
Physics of Nanoscale Devices,,Prof. Vishvendra Singh Poonia,,,,,,,nptel
Managing Services,,Dr.Jayanta Chatterjee,,,,,,,nptel
Computer Integrated Manufacturing,,Prof. J. Ramkumar,,,,,,,nptel
Applied Environmental Microbiology,,Prof. Gargi Singh,,,,,,,nptel
Introduction to Environmental Engineering and Science - Fundamental and Sustainability Concepts,,Prof.Brajesh K Dubey,,,,,,,nptel
Structural Analysis-I,,Prof. Amit Shaw,,,,,,,nptel
Energy Economics and Policy,,Prof.Shyamasree Dasgupta,,,,,,,nptel
Foundations to Computer Systems Design,,Prof. Kamakoti Veezhinathan,,,,,,,nptel
Physics Of Materials,,Prof. Prathap Haridoss,,,,,,,nptel
Introduction to Engineering Seismology,,Prof. Anbazhagan Panjamani,,,,,,,nptel
Aircraft Stability and Control,,Prof. A.K. Ghosh,,,,,,,nptel
Welding Processes,,Prof. Murugaiyan Amirthalingam,,,,,,,nptel
Arithmetic Circuit Complexity,,Prof. Nitin Saxena,,,,,,,nptel
Innovation by Design,,Prof. B. K. Chakravarthy,,,,,,,nptel
Introduction to Dynamical Models in Biology,,Prof. Biplab Bose,,,,,,,nptel
Industrial Biotechnology,,Prof. Debabrata Das,,,,,,,nptel
Heat Transfer and Combustion in Multiphase Systems,,Prof. Saptarshi Basu,,,,,,,nptel
Introduction to Programming in C,,Prof. Dr. Satyadev Nandakumar,,,,,,,nptel
Advanced Computer Architecture,,Prof. John Jose,,,,,,,nptel
MCDM Techniques Using R,,Prof. Gaurav Dixit,,,,,,,nptel
Analytical chemistry,,Prof. Debashis Ray,,,,,,,nptel
Computational Fluid Dynamics,,Prof. Sreenivas Jayanti,,,,,,,nptel
Fundamentals of Electrical Engineering,,Prof. Debapriya Das,,,,,,,nptel
Introduction to Coding Theory,,Prof. Adrish Banerjee,,,,,,,nptel
Six Sigma,,Prof. Jitesh J Thakkar,,,,,,,nptel
Disaster Recovery and Build Back Better,,Prof. Ram Sateesh Pasupuleti,,,,,,,nptel
Nuclear and Particle Physics,,Prof. Poulose Poulose,,,,,,,nptel
Introduction to Time-Frequency Analysis and Wavelet Transforms,,Dr. Arun K.Tangirala,,,,,,,nptel
A Brief Introduction of Micro - Sensors,,Prof. Santanu Talukder,,,,,,,nptel
"Fluid Inclusion in Mineral Principles, Methodology, Practice and Application",,M. K. Panigrahi,,,,,,,nptel
Recent Advances in Transmission Insulators,,Dr Subba Reddy B,,,,,,,nptel
English Literature for competitive exams,,Prof. Aysha Iqbal,,,,,,,nptel
Engineering Mechanics - Statics and Dynamics,,Prof. Anubhab Roy,,,,,,,nptel
Microelectronics: Devices To Circuits,,Prof.Sudeb Dasgupta,,,,,,,nptel
Introduction To Uncertainty Analysis And Experimentation,,Prof. S.R. Kale,,,,,,,nptel
Introduction to Operations Research,,Prof. G.Srinivasan,,,,,,,nptel
Introduction to Embedded System Design,,Prof. Badri N Subudhi,,,,,,,nptel
Management of Field Sales,,Prof. Jayanta Chatterjee,,,,,,,nptel
Numerical Methods for Engineers,,Prof. Niket Kaisare,,,,,,,nptel
Advanced Thermodynamics and Molecular Simulations,,Prof. Prateek Kumar Jha,,,,,,,nptel
Design and analysis of algorithms,,Prof. Madhavan Mukund,,,,,,,nptel
Employment Communication A Lab based course,,Prof. Seema Singh,,,,,,,nptel
Introduction to Internet of Things,,Prof. Sudip Misra,,,,,,,nptel
Multi-Core Computer Architecture - Storage and Interconnects,,Dr. John Jose,,,,,,,nptel
Operations Management,,Dr. Inderdeep Singh,,,,,,,nptel
Data Base Management Systems,,Partha Pratim Das,,,,,,,nptel
Introduction to Astrophysical Fluids,,Prof. Supratik Banerjee,,,,,,,nptel
Designing Learner-Centric MOOCs,,Prof. Sahana Murthy,,,,,,,nptel
Quality Design and Control,,Prof. Pradip Kumar Ray,,,,,,,nptel
TALE 2: Course Design and Instruction of Engineering Course,,Prof. N J Rao,,,,,,,nptel
"Structure, Form, and Architecture : The Synergy",,Prof. Shubhajit Sadhukhan,,,,,,,nptel
Systems Engineering: Theory & Practice,,Prof. Deepu Philip,,,,,,,nptel
Biophysical chemistry,,Prof. Pramit Kumar Chowdhury,,,,,,,nptel
Plastic Waste Management,,Prof. Brajesh Kumar Dubey,,,,,,,nptel
Heat Transfer,,Prof. Sunando Dasgupta,,,,,,,nptel
Demystifying Networking,,Prof. Sridhar Iyer,,,,,,,nptel
Galois Theory,,Prof.Dilip Patil,,,,,,,nptel
Transport Processes I: Heat and Mass Transfer,,Prof. V Kumaran,,,,,,,nptel
Facts Devices,,Dr. Avik Bhattacharya,,,,,,,nptel
Organo Metallic Chemistry,,Prof. Debabrata Maiti,,,,,,,nptel
Mechanical Measurement Systems,,Prof. Ravi Kumar,,,,,,,nptel
German - II,,Prof.Milind Brahme,,,,,,,nptel
Manufacturing Process Technology I & II,,Prof. Shantanu Bhattacharya,,,,,,,nptel
Working Capital Management,,Prof. Anil K. Sharma,,,,,,,nptel
Glass in buildings: Design and Applications,,Dr K N Satyanarayana,,,,,,,nptel
Game theory,,Prof.K.S. Mallikarjuna Rao,,,,,,,nptel
Carbon Materials and Manufacturing,,Prof. Swati Sharma,,,,,,,nptel
Fundamental Algorithms: Design and Analysis,,Prof. Sourav Mukhopadhyay,,,,,,,nptel
Literary Theory and Literary Criticism,,Prof. Aysha Iqbal,,,,,,,nptel
Farm Machinery,,Prof. VK Tewari,,,,,,,nptel
Introduction to Political Theory,,Prof. Mithilesh Kumar Jha,,,,,,,nptel
Molecular Spectroscopy: A Physical Chemistâs perspective,,Prof. Anindya Datta,,,,,,,nptel
Materials Science and Engineering,,Prof. Vivek Pancholi,,,,,,,nptel
"Mechanics, Heat, Oscillations and Waves",,Prof. V. Balakrishnan,,,,,,,nptel
Experimental Physics I,,Prof.Amal Kumar Das,,,,,,,nptel
Spectroscopic Techniques for Pharmaceutical and Biopharmaceutical Industries,,Prof. Shashank Deep,,,,,,,nptel
Advanced Materials and Processes,,Prof. Jayanta Das,,,,,,,nptel
Elements of Solar Energy Conversion,,Prof. Jishnu Bhattacharya,,,,,,,nptel
Power System Protection and Switchgear,,Prof. Bhaveshkumar R. Bhalja,,,,,,,nptel
Digital Land Surveying And Mapping (DLS & M),,Prof. J. K. Ghosh,,,,,,,nptel
Experimental Physics I,,Prof.Amal Kumar Das,,,,,,,nptel
An Introduction to Cardiovascular Fluid Mechanics,,Dr. Raghvendra Gupta,,,,,,,nptel
Principles of Digital Communications,,Prof.Abhishek Dixit,,,,,,,nptel
Postcolonial Literature,,Prof. Sayan Chattopadhyay,,,,,,,nptel
Neuroscience of Human Movements,,Prof. Varadhan,,,,,,,nptel
Control systems,,C. S. SHANKAR RAM,,,,,,,nptel
Unsaturated Soil Mechanics,,Prof.TV Bharat,,,,,,,nptel
Digital Land Surveying And Mapping (DLS&M),,Prof. J. K. Ghosh,,,,,,,nptel
Problem solving through Programming In C,,Prof. Anupam Basu,,,,,,,nptel
Lighter than Air Systems,,Prof. Rajkumar Pant,,,,,,,nptel
Marketing research and analysis,,Prof. J.K.Nayak,,,,,,,nptel
Foundation Design,,Unknown,,,,,,,nptel
Computer Architecture,,Prof. Smruti R.Sarangi,,,,,,,nptel
"Introduction to Automata, Languages and Computation",,Prof. Sourav MUkhopadhyay,,,,,,,nptel
Project Planning & Control,,Prof. Koshy Varghese,,,,,,,nptel
Engineering Mathematics - I,,Prof. Jitendra Kumar,,,,,,,nptel
Heat Transfer and Combustion in Multiphase Systems,,Prof. Saptarshi Basu,,,,,,,nptel
Design and Analysis of VLSI Subsystems,,Prof. Madhav Rao,,,,,,,nptel
Physics of Biological Systems,,Prof. Mithun Mitra,,,,,,,nptel
Engineering Metrology,,Prof. J. Ramkumar,,,,,,,nptel
Decision Support System for Managers,,Prof. Kunal Kanti Ghosh,,,,,,,nptel
"Fundamentals of Surface Engineering : Mechanisms, Processes and Characterizations",,Prof. D.K. Dwivedi,,,,,,,nptel
Integral and Vector Calculus,,Prof. Hari Shankar Mahato,,,,,,,nptel
Sustainability through Green Manufacturing Systems: An Applied Approach,,Prof. Deepu Philip,,,,,,,nptel
Feminism : Concepts and Theories,,Prof. Mathangi Krishnamurthy,,,,,,,nptel
Designing learner-centric e-learning in STEM disciplines,,Prof. Sahana Murthy,,,,,,,nptel
Computational Geometry,,Prof. Amit Kumar,,,,,,,nptel
Spatial Informatics,,Prof.SOUMYA K GHOSH,,,,,,,nptel
Polymer Reaction Engineering,,Prof. Shishir Sinha,,,,,,,nptel
Aspects of Biochemical Engineering,,Prof. Debabrata Das,,,,,,,nptel
Weldability of Metals,,Prof.D K Dwivedi,,,,,,,nptel
Basic Electrical Circuits,,Prof. Nagendra Krishnapura,,,,,,,nptel
Techniques in organic chemistry,,Unknown,,,,,,,nptel
Introduction to Machine Learning,,Prof. Balaraman Ravindran,,,,,,,nptel
Fundamentals of manufacturing processes,,Prof. D. K Dwivedi,,,,,,,nptel
Mechanical Measurement Systems,,Prof. Ravi Kumar,,,,,,,nptel
Applied Linear Algebra,,Prof. Andrew Thangaraj,,,,,,,nptel
Switching Circuits and Logic Design,,Prof. Indranil Sengupta,,,,,,,nptel
Bulk Material Transport and Handling Systems,,Prof. Khanindra Pathak,,,,,,,nptel
Analog Circuits,,Prof. Jayanta Mukherjee,,,,,,,nptel
Animal Physiology,,Prof. Mainak Das,,,,,,,nptel
Soil and Water Conservation Engineering,,Rajendra Singh,,,,,,,nptel
Introduction to Algebraic Geometry and Commutative Algebra,,Prof. Dilip Patil,,,,,,,nptel
Chemical Reaction Engineering-I,,Prof. Bishnupada Mandal,,,,,,,nptel
Basics of language Science,,Prof. Rajesh Kumar,,,,,,,nptel
Linear System Theory,,Prof.Ramkrishna Pasumarthy,,,,,,,nptel
Physics of linear and nonlinear optical waveguides,,Prof. Samudra Roy,,,,,,,nptel
Biophysical Chemistry,,Prof. Pramit Kumar Chowdhury,,,,,,,nptel
Creep deformation of materials,,Prof. Srikant Gollapudi,,,,,,,nptel
Computational Physics,,Prof.Apratim Chatterji,,,,,,,nptel
Material Science and Engineering,,Dr. Vivek Pancholi,,,,,,,nptel
Chemical and biological thermodynamics: principles to applications,,Prof. Nand Kishore,,,,,,,nptel
Natural Hazards,,Prof. Javed N. Malik,,,,,,,nptel
Algebra - II,,Prof. S. Viswanath,,,,,,,nptel
Geomorphology,,Prof. Pitambar Pati,,,,,,,nptel
"Text, Textuality and Digital Media",,Prof. Arjun Ghosh,,,,,,,nptel
Microwave Integrated Circuits,,Prof. Jayanta Mukherjee,,,,,,,nptel
Research Writing,,Prof. Aradhna Malik,,,,,,,nptel
Sociological Perspectives on Modernity,,Prof. Sambit Mallick,,,,,,,nptel
Circuit Analysis for Analog Designers,,Prof. Shanthi Pavan,,,,,,,nptel
Introduction to Engineering Seismology,,Prof. Anbazhagan Panjamani,,,,,,,nptel
Heat Transfer,,Prof. Ganesh Viswanathan,,,,,,,nptel
Digital Circuits and Systems,,Prof. Shankar Balachandran,,,,,,,nptel
Interactomics : Basics & Applications,,Prof. Sanjeeva Srivastava,,,,,,,nptel
Fundamentals of combustion for propulsion,,Prof. S Varunkumar,,,,,,,nptel
Biomedical Signal Processing,,Prof. Sudipta Mukhopadhyay,,,,,,,nptel
Power System Protection,,Prof. Ashok Kumar Pradhan,,,,,,,nptel
Principles of Hydraulic Machines and System Design,,Pranab K. Mondal,,,,,,,nptel
Cloud Computing,,Prof. Soumya Kanti Ghosh,,,,,,,nptel
Forests And Their Management,,Prof. Ankur Awadhiya,,,,,,,nptel
Computational Fluid Dynamics,,Prof. Sreenivas Jayanti,,,,,,,nptel
"Introduction to Political Ideologies : Contexts, Ideas, and Practices",,Prof. Arvind Sivaramakrishnan,,,,,,,nptel
A Brief Introduction of Micro - Sensors,,Prof. Santanu Talukder,,,,,,,nptel
Computer numerical control CNC of machine tools and processes,,Prof. Asimava Roy Choudhury,,,,,,,nptel
"Process Control - Design, Analysis and Assessment",,Prof.Raghunathan Rengaswamy,,,,,,,nptel
Multivariable calculus,,Prof. S.K.Gupta,,,,,,,nptel
Fluid Flow Operations,,Prof. Subrata Kumar Majumder,,,,,,,nptel
Unit Operations of Particulate Matter,,Prof. Shabina Khanam,,,,,,,nptel
Upstream LNG Technology,,Pavitra Sandilya,,,,,,,nptel
